Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.1,10
Plant2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
